epoch,train_loss,train_acc,val_loss,val_acc
1,0.689895749092102,0.5034090936183929,0.6301255226135254,0.5789473652839661
2,0.5783212423324585,0.7136363625526428,0.4060370922088623,0.8421052694320679
3,0.41938158869743347,0.8443181872367859,0.25691133737564087,0.8947368264198303
4,0.36508673429489136,0.8363636374473572,0.2516792118549347,0.8947368264198303
5,0.4028116434812546,0.8221590876579284,0.3489338457584381,0.7894737124443054
6,0.32749238014221194,0.8630681872367859,0.2186836451292038,0.8947368264198303
7,0.2884099081158638,0.89375,0.20277927815914154,0.9473684430122375
8,0.23243395388126373,0.9193181872367859,0.19403283298015594,0.9473684430122375
9,0.1944972425699234,0.94375,0.1797676384449005,0.8947368264198303
10,0.16713786125183105,0.9443181872367858,0.17200033366680145,0.9473684430122375
